Manufacturer,Model,Type,Min.Price,Price,Max.Price,AirBags,DriveTrain,Cylinders,EngineSize,Horsepower,Man.trans.avail,Fuel.tank.capacity,Length,Wheelbase,Width,Turn.circle,Weight
Acura,Integra,Small,12.9,15.9,18.8,None,Front,4,1.8,140,Yes,13.2,177,102,68,37,2705
Acura,Legend,Midsize,29.2,33.9,38.7,Driver & Passenger,Front,6,3.2,200,Yes,18.0,195,115,71,38,3560
Audi,90,Compact,25.9,29.1,32.3,Driver only,Front,6,2.8,172,Yes,16.9,180,102,67,37,3375
Audi,100,Midsize,30.8,37.7,44.6,Driver & Passenger,Front,6,2.8,172,Yes,21.1,193,106,70,37,3405
BMW,535i,Midsize,23.7,30.0,36.2,Driver only,Rear,4,3.5,208,Yes,21.1,186,109,69,39,3640
Buick,Century,Midsize,14.2,15.7,17.3,Driver only,Front,4,2.2,110,No,16.4,189,105,69,41,2880
Buick,LeSabre,Large,19.9,20.8,21.7,Driver only,Front,6,3.8,170,No,18.0,200,111,74,42,3470
Buick,Roadmaster,Large,22.6,23.7,24.9,Driver only,Rear,6,5.7,180,No,23.0,216,116,78,45,4105
Buick,Riviera,Midsize,26.3,26.3,26.3,Driver only,Front,6,3.8,170,No,18.8,198,108,73,41,3495
Cadillac,DeVille,Large,33.0,34.7,36.3,Driver only,Front,8,4.9,200,No,18.0,206,114,73,43,3620
Cadillac,Seville,Midsize,37.5,40.1,42.7,Driver & Passenger,Front,8,4.6,295,No,20.0,204,111,74,44,3935
Chevrolet,Cavalier,Compact,8.5,13.4,18.3,None,Front,4,2.2,110,Yes,15.2,182,101,66,38,2490
Chevrolet,Corsica,Compact,11.4,11.4,11.4,Driver only,Front,4,2.2,110,Yes,15.6,184,103,68,39,2785
Chevrolet,Camaro,Sporty,13.4,15.1,16.8,Driver & Passenger,Rear,6,3.4,160,Yes,15.5,193,101,74,43,3240
Chevrolet,Lumina,Midsize,13.4,15.9,18.4,None,Front,4,2.2,110,No,16.5,198,108,71,40,3195
Chevrolet,Lumina_APV,Van,14.7,16.3,18.0,None,Front,6,3.8,170,No,20.0,178,110,74,44,3715
Chevrolet,Astro,Van,14.7,16.6,18.6,None,4WD,6,4.3,165,No,27.0,194,111,78,42,4025
Chevrolet,Caprice,Large,18.0,18.8,19.6,Driver only,Rear,8,5.0,170,No,23.0,214,116,77,42,3910
Chevrolet,Corvette,Sporty,34.6,38.0,41.5,Driver only,Rear,8,5.7,300,Yes,20.0,179,96,74,43,3380
Chrylser,Concorde,Large,18.4,18.4,18.4,Driver & Passenger,Front,6,3.3,153,No,18.0,203,113,74,40,3515
Chrysler,LeBaron,Compact,14.5,15.8,17.1,Driver & Passenger,Front,4,3.0,141,No,16.0,183,104,68,41,3085
Chrysler,Imperial,Large,29.5,29.5,29.5,Driver only,Front,6,3.3,147,No,16.0,203,110,69,44,3570
Dodge,Colt,Small,7.9,9.2,10.6,None,Front,4,1.5,92,Yes,13.2,174,98,66,32,2270
Dodge,Shadow,Small,8.4,11.3,14.2,Driver only,Front,4,2.2,93,Yes,14.0,172,97,67,38,2670
Dodge,Spirit,Compact,11.9,13.3,14.7,Driver only,Front,4,2.5,100,Yes,16.0,181,104,68,39,2970
Dodge,Caravan,Van,13.6,19.0,24.4,Driver only,4WD,6,3.0,142,No,20.0,175,112,72,42,3705
Dodge,Dynasty,Midsize,14.8,15.6,16.4,Driver only,Front,4,2.5,100,No,16.0,192,105,69,42,3080
Dodge,Stealth,Sporty,18.5,25.8,33.1,Driver only,4WD,6,3.0,300,Yes,19.8,180,97,72,40,3805
Eagle,Summit,Small,7.9,12.2,16.5,None,Front,4,1.5,92,Yes,13.2,174,98,66,36,2295
Eagle,Vision,Large,17.5,19.3,21.2,Driver & Passenger,Front,6,3.5,214,No,18.0,202,113,74,40,3490
Ford,Festiva,Small,6.9,7.4,7.9,None,Front,4,1.3,63,Yes,10.0,141,90,63,33,1845
Ford,Escort,Small,8.4,10.1,11.9,None,Front,4,1.8,127,Yes,13.2,171,98,67,36,2530
Ford,Tempo,Compact,10.4,11.3,12.2,None,Front,4,2.3,96,Yes,15.9,177,100,68,39,2690
Ford,Mustang,Sporty,10.8,15.9,21.0,Driver only,Rear,4,2.3,105,Yes,15.4,180,101,68,40,2850
Ford,Probe,Sporty,12.8,14.0,15.2,Driver only,Front,4,2.0,115,Yes,15.5,179,103,70,38,2710
Ford,Aerostar,Van,14.5,19.9,25.3,Driver only,4WD,6,3.0,145,Yes,21.0,176,119,72,45,3735
Ford,Taurus,Midsize,15.6,20.2,24.8,Driver only,Front,6,3.0,140,No,16.0,192,106,71,40,3325
Ford,Crown_Victoria,Large,20.1,20.9,21.7,Driver only,Rear,8,4.6,190,No,20.0,212,114,78,43,3950
Geo,Metro,Small,6.7,8.4,10.0,None,Front,3,1.0,55,Yes,10.6,151,93,63,34,1695
Geo,Storm,Sporty,11.5,12.5,13.5,Driver only,Front,4,1.6,90,Yes,12.4,164,97,67,37,2475
Honda,Prelude,Sporty,17.0,19.8,22.7,Driver & Passenger,Front,4,2.3,160,Yes,15.9,175,100,70,39,2865
Honda,Civic,Small,8.4,12.1,15.8,Driver only,Front,4,1.5,102,Yes,11.9,173,103,67,36,2350
Honda,Accord,Compact,13.8,17.5,21.2,Driver & Passenger,Front,4,2.2,140,Yes,17.0,185,107,67,41,3040
Hyundai,Excel,Small,6.8,8.0,9.2,None,Front,4,1.5,81,Yes,11.9,168,94,63,35,2345
Hyundai,Elantra,Small,9.0,10.0,11.0,None,Front,4,1.8,124,Yes,13.7,172,98,66,36,2620
Hyundai,Scoupe,Sporty,9.1,10.0,11.0,None,Front,4,1.5,92,Yes,11.9,166,94,64,34,2285
Hyundai,Sonata,Midsize,12.4,13.9,15.3,None,Front,4,2.0,128,Yes,17.2,184,104,69,41,2885
Infiniti,Q45,Midsize,45.4,47.9,50.4,Driver only,Rear,8,4.5,278,No,22.5,200,113,72,42,4000
Lexus,ES300,Midsize,27.5,28.0,28.4,Driver only,Front,6,3.0,185,Yes,18.5,188,103,70,40,3510
Lexus,SC300,Midsize,34.7,35.2,35.6,Driver & Passenger,Rear,6,3.0,225,Yes,20.6,191,106,71,39,3515
Lincoln,Continental,Midsize,33.3,34.3,35.3,Driver & Passenger,Front,6,3.8,160,No,18.4,205,109,73,42,3695
Lincoln,Town_Car,Large,34.4,36.1,37.8,Driver & Passenger,Rear,8,4.6,210,No,20.0,219,117,77,45,4055
Mazda,323,Small,7.4,8.3,9.1,None,Front,4,1.6,82,Yes,13.2,164,97,66,34,2325
Mazda,Protege,Small,10.9,11.6,12.3,None,Front,4,1.8,103,Yes,14.5,172,98,66,36,2440
Mazda,626,Compact,14.3,16.5,18.7,Driver only,Front,4,2.5,164,Yes,15.5,184,103,69,40,2970
Mazda,MPV,Van,16.6,19.1,21.7,None,4WD,6,3.0,155,No,19.6,190,110,72,39,3735
Mazda,RX-7,Sporty,32.5,32.5,32.5,Driver only,Rear,rotary,1.3,255,Yes,20.0,169,96,69,37,2895
Mercedes-Benz,190E,Compact,29.0,31.9,34.9,Driver only,Rear,4,2.3,130,Yes,14.5,175,105,67,34,2920
Mercedes-Benz,300E,Midsize,43.8,61.9,80.0,Driver & Passenger,Rear,6,3.2,217,No,18.5,187,110,69,37,3525
Mercury,Capri,Sporty,13.3,14.1,15.0,Driver only,Front,4,1.6,100,Yes,11.1,166,95,65,36,2450
Mercury,Cougar,Midsize,14.9,14.9,14.9,None,Rear,6,3.8,140,No,18.0,199,113,73,38,3610
Mitsubishi,Mirage,Small,7.7,10.3,12.9,None,Front,4,1.5,92,Yes,13.2,172,98,67,36,2295
Mitsubishi,Diamante,Midsize,22.4,26.1,29.9,Driver only,Front,6,3.0,202,No,19.0,190,107,70,43,3730
Nissan,Sentra,Small,8.7,11.8,14.9,Driver only,Front,4,1.6,110,Yes,13.2,170,96,66,33,2545
Nissan,Altima,Compact,13.0,15.7,18.3,Driver only,Front,4,2.4,150,Yes,15.9,181,103,67,40,3050
Nissan,Quest,Van,16.7,19.1,21.5,None,Front,6,3.0,151,No,20.0,190,112,74,41,4100
Nissan,Maxima,Midsize,21.0,21.5,22.0,Driver only,Front,6,3.0,160,No,18.5,188,104,69,41,3200
Oldsmobile,Achieva,Compact,13.0,13.5,14.0,None,Front,4,2.3,155,No,15.2,188,103,67,39,2910
Oldsmobile,Cutlass_Ciera,Midsize,14.2,16.3,18.4,Driver only,Front,4,2.2,110,No,16.5,190,105,70,42,2890
Oldsmobile,Silhouette,Van,19.5,19.5,19.5,None,Front,6,3.8,170,No,20.0,194,110,74,44,3715
Oldsmobile,Eighty-Eight,Large,19.5,20.7,21.9,Driver only,Front,6,3.8,170,No,18.0,201,111,74,42,3470
Plymouth,Laser,Sporty,11.4,14.4,17.4,None,4WD,4,1.8,92,Yes,15.9,173,97,67,39,2640
Pontiac,LeMans,Small,8.2,9.0,9.9,None,Front,4,1.6,74,Yes,13.2,177,99,66,35,2350
Pontiac,Sunbird,Compact,9.4,11.1,12.8,None,Front,4,2.0,110,Yes,15.2,181,101,66,39,2575
Pontiac,Firebird,Sporty,14.0,17.7,21.4,Driver & Passenger,Rear,6,3.4,160,Yes,15.5,196,101,75,43,3240
Pontiac,Grand_Prix,Midsize,15.4,18.5,21.6,None,Front,6,3.4,200,Yes,16.5,195,108,72,41,3450
Pontiac,Bonneville,Large,19.4,24.4,29.4,Driver & Passenger,Front,6,3.8,170,No,18.0,177,111,74,43,3495
Saab,900,Compact,20.3,28.7,37.1,Driver only,Front,4,2.1,140,Yes,18.0,184,99,67,37,2775
Saturn,SL,Small,9.2,11.1,12.9,Driver only,Front,4,1.9,85,Yes,12.8,176,102,68,40,2495
Subaru,Justy,Small,7.3,8.4,9.5,None,4WD,3,1.2,73,Yes,9.2,146,90,60,32,2045
Subaru,Loyale,Small,10.5,10.9,11.3,None,4WD,4,1.8,90,Yes,15.9,175,97,65,35,2490
Subaru,Legacy,Compact,16.3,19.5,22.7,Driver only,4WD,4,2.2,130,Yes,15.9,179,102,67,37,3085
Suzuki,Swift,Small,7.3,8.6,10.0,None,Front,3,1.3,70,Yes,10.6,161,93,63,34,1965
Toyota,Tercel,Small,7.8,9.8,11.8,Driver only,Front,4,1.5,82,Yes,11.9,162,94,65,36,2055
Toyota,Celica,Sporty,14.2,18.4,22.6,Driver only,Front,4,2.2,135,Yes,15.9,174,99,69,39,2950
Toyota,Camry,Midsize,15.2,18.2,21.2,Driver only,Front,4,2.2,130,Yes,18.5,188,103,70,38,3030
Toyota,Previa,Van,18.9,22.7,26.6,Driver only,4WD,4,2.4,138,Yes,19.8,187,113,71,41,3785
Volkswagen,Fox,Small,8.7,9.1,9.5,None,Front,4,1.8,81,Yes,12.4,163,93,63,34,2240
Volkswagen,Eurovan,Van,16.6,19.7,22.7,None,Front,5,2.5,109,Yes,21.1,187,115,72,38,3960
Volkswagen,Passat,Compact,17.6,20.0,22.4,None,Front,4,2.0,134,Yes,18.5,180,103,67,35,2985
Volkswagen,Corrado,Sporty,22.9,23.3,23.7,None,Front,6,2.8,178,Yes,18.5,159,97,66,36,2810
Volvo,240,Compact,21.8,22.7,23.5,Driver only,Rear,4,2.3,114,Yes,15.8,190,104,67,37,2985
Volvo,850,Midsize,24.8,26.7,28.5,Driver & Passenger,Front,5,2.4,168,Yes,19.3,184,105,69,38,3245
